time,open,close,high,low
2019-01-01 22:00:00,1.14682,1.14665,1.14691,1.14665
2019-01-01 22:05:00,1.14665,1.14675,1.14687,1.14637
2019-01-01 22:10:00,1.14675,1.14667,1.14677,1.14636
2019-01-01 22:15:00,1.14669,1.14645,1.14675,1.14644
2019-01-01 22:20:00,1.14645,1.14672,1.14675,1.14636
2019-01-01 22:25:00,1.14667,1.14660,1.14672,1.14636
2019-01-01 22:30:00,1.14662,1.14660,1.14674,1.14626
2019-01-01 22:35:00,1.14659,1.14659,1.14666,1.14656
2019-01-01 22:40:00,1.14658,1.14643,1.14672,1.14638
2019-01-01 22:45:00,1.14643,1.14641,1.14646,1.14635
2019-01-01 22:50:00,1.14643,1.14659,1.14662,1.14638
2019-01-01 22:55:00,1.14665,1.14641,1.14675,1.14630
2019-01-01 23:00:00,1.14643,1.14661,1.14686,1.14611
2019-01-01 23:05:00,1.14661,1.14659,1.14666,1.14651
2019-01-01 23:10:00,1.14660,1.14662,1.14671,1.14658
2019-01-01 23:15:00,1.14663,1.14672,1.14673,1.14657
2019-01-01 23:20:00,1.14673,1.14674,1.14677,1.14663
2019-01-01 23:25:00,1.14676,1.14669,1.14683,1.14667
2019-01-01 23:30:00,1.14669,1.14658,1.14673,1.14656
2019-01-01 23:35:00,1.14658,1.14664,1.14666,1.14656
2019-01-01 23:40:00,1.14665,1.14655,1.14665,1.14651
2019-01-01 23:45:00,1.14655,1.14625,1.14655,1.14624
2019-01-01 23:50:00,1.14626,1.14620,1.14626,1.14617
2019-01-01 23:55:00,1.14620,1.14616,1.14621,1.14614
2019-01-02 00:00:00,1.14616,1.14583,1.14616,1.14579
2019-01-02 00:05:00,1.14582,1.14617,1.14630,1.14578
2019-01-02 00:10:00,1.14616,1.14626,1.14627,1.14596
2019-01-02 00:15:00,1.14627,1.14610,1.14628,1.14606
2019-01-02 00:20:00,1.14611,1.14603,1.14619,1.14603
2019-01-02 00:25:00,1.14604,1.14583,1.14604,1.14578
2019-01-02 00:30:00,1.14582,1.14556,1.14591,1.14554
2019-01-02 00:35:00,1.14556,1.14552,1.14566,1.14547
2019-01-02 00:40:00,1.14552,1.14563,1.14567,1.14550
2019-01-02 00:45:00,1.14563,1.14563,1.14565,1.14559
2019-01-02 00:50:00,1.14563,1.14562,1.14565,1.14557
2019-01-02 00:55:00,1.14563,1.14566,1.14566,1.14560
2019-01-02 01:00:00,1.14566,1.14547,1.14566,1.14528
2019-01-02 01:05:00,1.14547,1.14526,1.14547,1.14524
2019-01-02 01:10:00,1.14525,1.14516,1.14526,1.14505
2019-01-02 01:15:00,1.14517,1.14547,1.14547,1.14517
2019-01-02 01:20:00,1.14547,1.14545,1.14552,1.14545
2019-01-02 01:25:00,1.14545,1.14526,1.14546,1.14526
2019-01-02 01:30:00,1.14526,1.14530,1.14537,1.14518
2019-01-02 01:35:00,1.14531,1.14526,1.14541,1.14519
2019-01-02 01:40:00,1.14526,1.14541,1.14542,1.14526
2019-01-02 01:45:00,1.14543,1.14490,1.14543,1.14479
2019-01-02 01:50:00,1.14490,1.14476,1.14493,1.14462
2019-01-02 01:55:00,1.14475,1.14526,1.14527,1.14469
2019-01-02 02:00:00,1.14525,1.14531,1.14537,1.14510
2019-01-02 02:05:00,1.14530,1.14517,1.14532,1.14515
2019-01-02 02:10:00,1.14516,1.14536,1.14536,1.14509
2019-01-02 02:15:00,1.14534,1.14505,1.14536,1.14495
2019-01-02 02:20:00,1.14505,1.14486,1.14536,1.14479
2019-01-02 02:25:00,1.14485,1.14490,1.14496,1.14475
2019-01-02 02:30:00,1.14489,1.14470,1.14510,1.14468
2019-01-02 02:35:00,1.14473,1.14461,1.14475,1.14449
2019-01-02 02:40:00,1.14460,1.14450,1.14471,1.14445
2019-01-02 02:45:00,1.14450,1.14445,1.14457,1.14431
2019-01-02 02:50:00,1.14446,1.14455,1.14457,1.14438
2019-01-02 02:55:00,1.14455,1.14459,1.14459,1.14445
2019-01-02 03:00:00,1.14458,1.14455,1.14462,1.14450
2019-01-02 03:05:00,1.14455,1.14460,1.14466,1.14451
2019-01-02 03:10:00,1.14461,1.14457,1.14463,1.14451
2019-01-02 03:15:00,1.14456,1.14476,1.14482,1.14456
2019-01-02 03:20:00,1.14474,1.14477,1.14477,1.14462
2019-01-02 03:25:00,1.14477,1.14478,1.14483,1.14470
2019-01-02 03:30:00,1.14479,1.14483,1.14489,1.14477
2019-01-02 03:35:00,1.14481,1.14468,1.14484,1.14462
2019-01-02 03:40:00,1.14468,1.14468,1.14474,1.14462
2019-01-02 03:45:00,1.14468,1.14462,1.14468,1.14456
2019-01-02 03:50:00,1.14463,1.14463,1.14465,1.14450
2019-01-02 03:55:00,1.14466,1.14460,1.14475,1.14460
2019-01-02 04:00:00,1.14462,1.14452,1.14465,1.14443
2019-01-02 04:05:00,1.14452,1.14452,1.14453,1.14447
2019-01-02 04:10:00,1.14453,1.14448,1.14460,1.14447
2019-01-02 04:15:00,1.14448,1.14451,1.14455,1.14440
2019-01-02 04:20:00,1.14450,1.14456,1.14456,1.14445
2019-01-02 04:25:00,1.14456,1.14450,1.14469,1.14446
2019-01-02 04:30:00,1.14450,1.14438,1.14453,1.14430
2019-01-02 04:35:00,1.14438,1.14463,1.14473,1.14438
2019-01-02 04:40:00,1.14463,1.14465,1.14468,1.14452
2019-01-02 04:45:00,1.14464,1.14453,1.14464,1.14448
2019-01-02 04:50:00,1.14453,1.14452,1.14456,1.14448
2019-01-02 04:55:00,1.14452,1.14454,1.14460,1.14449
2019-01-02 05:00:00,1.14454,1.14484,1.14486,1.14453
2019-01-02 05:05:00,1.14483,1.14481,1.14484,1.14477
2019-01-02 05:10:00,1.14481,1.14484,1.14485,1.14475
2019-01-02 05:15:00,1.14484,1.14522,1.14534,1.14479
2019-01-02 05:20:00,1.14518,1.14573,1.14575,1.14518
2019-01-02 05:25:00,1.14571,1.14582,1.14584,1.14565
2019-01-02 05:30:00,1.14580,1.14622,1.14632,1.14578
2019-01-02 05:35:00,1.14620,1.14676,1.14680,1.14618
2019-01-02 05:40:00,1.14675,1.14697,1.14701,1.14667
2019-01-02 05:45:00,1.14697,1.14692,1.14707,1.14686
2019-01-02 05:50:00,1.14692,1.14712,1.14715,1.14692
2019-01-02 05:55:00,1.14712,1.14783,1.14790,1.14693
2019-01-02 06:00:00,1.14783,1.14831,1.14862,1.14773
2019-01-02 06:05:00,1.14832,1.14868,1.14870,1.14825
2019-01-02 06:10:00,1.14869,1.14896,1.14970,1.14869
2019-01-02 06:15:00,1.14896,1.14952,1.14952,1.14894
2019-01-02 06:20:00,1.14952,1.14915,1.14963,1.14910
2019-01-02 06:25:00,1.14917,1.14944,1.14971,1.14902
2019-01-02 06:30:00,1.14946,1.14929,1.14947,1.14899
2019-01-02 06:35:00,1.14930,1.14904,1.14935,1.14904
2019-01-02 06:40:00,1.14900,1.14910,1.14926,1.14880
2019-01-02 06:45:00,1.14910,1.14852,1.14936,1.14841
2019-01-02 06:50:00,1.14851,1.14838,1.14909,1.14827
2019-01-02 06:55:00,1.14838,1.14858,1.14861,1.14825
2019-01-02 07:00:00,1.14857,1.14859,1.14890,1.14829
2019-01-02 07:05:00,1.14860,1.14902,1.14933,1.14860
2019-01-02 07:10:00,1.14901,1.14878,1.14906,1.14852
2019-01-02 07:15:00,1.14876,1.14869,1.14899,1.14820
2019-01-02 07:20:00,1.14868,1.14870,1.14899,1.14853
2019-01-02 07:25:00,1.14870,1.14835,1.14878,1.14833
2019-01-02 07:30:00,1.14834,1.14807,1.14839,1.14786
2019-01-02 07:35:00,1.14806,1.14848,1.14851,1.14788
2019-01-02 07:40:00,1.14847,1.14800,1.14850,1.14787
2019-01-02 07:45:00,1.14798,1.14781,1.14820,1.14767
2019-01-02 07:50:00,1.14781,1.14778,1.14817,1.14778
2019-01-02 07:55:00,1.14778,1.14768,1.14787,1.14739
2019-01-02 08:00:00,1.14757,1.14709,1.14784,1.14675
2019-01-02 08:05:00,1.14709,1.14641,1.14721,1.14639
2019-01-02 08:10:00,1.14641,1.14624,1.14641,1.14607
2019-01-02 08:15:00,1.14624,1.14524,1.14624,1.14497
2019-01-02 08:20:00,1.14526,1.14509,1.14562,1.14508
2019-01-02 08:25:00,1.14509,1.14535,1.14564,1.14502
2019-01-02 08:30:00,1.14534,1.14322,1.14536,1.14301
2019-01-02 08:35:00,1.14322,1.14387,1.14405,1.14290
2019-01-02 08:40:00,1.14389,1.14421,1.14445,1.14360
2019-01-02 08:45:00,1.14421,1.14408,1.14442,1.14380
2019-01-02 08:50:00,1.14407,1.14440,1.14444,1.14404
2019-01-02 08:55:00,1.14442,1.14484,1.14489,1.14401
2019-01-02 09:00:00,1.14484,1.14406,1.14500,1.14401
2019-01-02 09:05:00,1.14406,1.14410,1.14422,1.14383
2019-01-02 09:10:00,1.14410,1.14445,1.14451,1.14392
2019-01-02 09:15:00,1.14442,1.14462,1.14467,1.14379
2019-01-02 09:20:00,1.14461,1.14389,1.14463,1.14360
2019-01-02 09:25:00,1.14389,1.14376,1.14412,1.14372
2019-01-02 09:30:00,1.14376,1.14382,1.14423,1.14358
2019-01-02 09:35:00,1.14381,1.14327,1.14403,1.14265
2019-01-02 09:40:00,1.14329,1.14277,1.14342,1.14224
2019-01-02 09:45:00,1.14277,1.14294,1.14300,1.14252
2019-01-02 09:50:00,1.14293,1.14301,1.14318,1.14283
2019-01-02 09:55:00,1.14300,1.14344,1.14348,1.14280
2019-01-02 10:00:00,1.14343,1.14344,1.14381,1.14333
2019-01-02 10:05:00,1.14344,1.14354,1.14359,1.14332
2019-01-02 10:10:00,1.14354,1.14362,1.14370,1.14323
2019-01-02 10:15:00,1.14360,1.14361,1.14373,1.14333
2019-01-02 10:20:00,1.14360,1.14366,1.14383,1.14352
2019-01-02 10:25:00,1.14364,1.14377,1.14383,1.14332
2019-01-02 10:30:00,1.14376,1.14397,1.14397,1.14368
2019-01-02 10:35:00,1.14397,1.14379,1.14399,1.14357
2019-01-02 10:40:00,1.14380,1.14386,1.14420,1.14377
2019-01-02 10:45:00,1.14387,1.14384,1.14402,1.14363
2019-01-02 10:50:00,1.14384,1.14381,1.14417,1.14367
2019-01-02 10:55:00,1.14382,1.14372,1.14407,1.14356
2019-01-02 11:00:00,1.14372,1.14376,1.14392,1.14352
2019-01-02 11:05:00,1.14374,1.14299,1.14380,1.14289
2019-01-02 11:10:00,1.14299,1.14259,1.14303,1.14257
2019-01-02 11:15:00,1.14259,1.14297,1.14306,1.14248
2019-01-02 11:20:00,1.14297,1.14323,1.14358,1.14297
2019-01-02 11:25:00,1.14322,1.14336,1.14336,1.14277
2019-01-02 11:30:00,1.14336,1.14360,1.14366,1.14322
2019-01-02 11:35:00,1.14359,1.14370,1.14379,1.14334
2019-01-02 11:40:00,1.14369,1.14348,1.14376,1.14336
2019-01-02 11:45:00,1.14347,1.14366,1.14366,1.14324
2019-01-02 11:50:00,1.14366,1.14366,1.14380,1.14351
2019-01-02 11:55:00,1.14366,1.14341,1.14372,1.14336
2019-01-02 12:00:00,1.14341,1.14286,1.14343,1.14263
2019-01-02 12:05:00,1.14284,1.14282,1.14292,1.14254
2019-01-02 12:10:00,1.14281,1.14293,1.14302,1.14281
2019-01-02 12:15:00,1.14292,1.14185,1.14292,1.14155
2019-01-02 12:20:00,1.14182,1.14126,1.14205,1.14111
2019-01-02 12:25:00,1.14126,1.14032,1.14126,1.14027
2019-01-02 12:30:00,1.14030,1.14048,1.14068,1.13981
2019-01-02 12:35:00,1.14048,1.14084,1.14088,1.14047
2019-01-02 12:40:00,1.14083,1.14076,1.14111,1.14048
2019-01-02 12:45:00,1.14077,1.14084,1.14091,1.14063
2019-01-02 12:50:00,1.14084,1.14077,1.14090,1.14058
2019-01-02 12:55:00,1.14079,1.14053,1.14091,1.14035
2019-01-02 13:00:00,1.14050,1.14043,1.14058,1.13999
2019-01-02 13:05:00,1.14044,1.14001,1.14048,1.13972
2019-01-02 13:10:00,1.14001,1.13974,1.14028,1.13970
2019-01-02 13:15:00,1.13975,1.14030,1.14033,1.13934
2019-01-02 13:20:00,1.14030,1.13951,1.14035,1.13942
2019-01-02 13:25:00,1.13950,1.13814,1.13956,1.13803
2019-01-02 13:30:00,1.13815,1.13864,1.13874,1.13780
2019-01-02 13:35:00,1.13863,1.13843,1.13869,1.13811
2019-01-02 13:40:00,1.13841,1.13819,1.13844,1.13769
2019-01-02 13:45:00,1.13817,1.13719,1.13821,1.13717
2019-01-02 13:50:00,1.13719,1.13727,1.13788,1.13676
2019-01-02 13:55:00,1.13726,1.13720,1.13736,1.13694
2019-01-02 14:00:00,1.13719,1.13744,1.13755,1.13687
2019-01-02 14:05:00,1.13743,1.13735,1.13743,1.13694
2019-01-02 14:10:00,1.13735,1.13741,1.13755,1.13722
2019-01-02 14:15:00,1.13740,1.13704,1.13741,1.13684
2019-01-02 14:20:00,1.13704,1.13703,1.13740,1.13640
2019-01-02 14:25:00,1.13702,1.13685,1.13716,1.13659
